frequency_hz,normal_raw_power,inner_raw_power,outer_raw_power,normal_envelope_power,inner_envelope_power,outer_envelope_power
139.992708713,3.101115818e-10,2.459449068e-03,8.410934682e-04,1.051091295e-08,7.537032873e-02,6.313979147e-02
143.325868444,2.214668869e-09,1.050451194e-03,2.993547182e-03,1.808259418e-08,1.356392627e+01,1.639335934e-01
146.659028176,5.079148628e-08,3.299395312e-03,5.273862937e-04,1.713186644e-07,2.993446086e+02,6.981647855e+00
149.992187907,9.139399699e-06,8.779582394e-03,9.808920863e-02,3.151216743e-05,3.261929575e+02,1.168345433e+03
153.325347638,2.010450294e-05,4.152806276e-03,2.224474435e-01,6.801947396e-05,1.850794151e+01,2.566397207e+03
156.658507369,2.585435756e-06,2.477299432e-03,3.846689375e-02,9.345494861e-06,2.095057060e-01,3.289048148e+02
159.991667101,1.088763110e-08,1.521119549e-03,4.039299105e-03,6.568588451e-08,8.068932244e-03,1.619817072e+00
163.324826832,8.978607224e-10,2.027254961e-03,8.704333800e-03,1.186762590e-08,3.336293804e-02,5.691210327e-02
166.657986563,1.617222823e-10,2.792189423e-03,1.718851403e-04,5.239054314e-09,2.585591533e-01,2.280253481e-02
169.991146294,4.306712021e-11,1.020259128e-03,8.999243519e-03,3.876096419e-09,8.730950411e+01,6.436089267e-02
173.324306026,2.959439959e-11,1.481252794e-02,6.590452368e-03,8.354389136e-09,2.831646406e+02,2.509094291e-02
176.657465757,1.261948533e-10,8.194699558e-03,1.973932373e-03,1.035010789e-08,6.294100693e+01,3.490184165e-02
179.990625488,8.145957841e-11,3.282087139e-03,1.337399275e-02,1.266094156e-08,2.111336269e-02,1.698958465e-01
183.323785220,1.828770965e-12,2.201250609e-03,1.072286002e-02,1.504461595e-09,1.760931213e-03,5.174523503e-02
186.656944951,9.262019717e-13,1.713389624e-03,5.843819876e-04,8.624354708e-10,3.845565507e-02,3.305577631e+00
189.990104682,8.878443870e-13,3.579287140e-03,7.557207724e-03,5.662699192e-10,8.569520364e-02,2.785781999e+01
193.323264413,1.081663274e-12,9.193682741e-05,5.379444889e-03,4.267463709e-10,1.271366219e+01,1.382833732e+01
196.656424145,1.671572494e-12,1.705955400e-02,9.586457767e-03,4.109835595e-10,1.626887255e+02,1.628207228e-01
199.989583876,1.320284713e-11,2.026490223e-02,5.758221925e-02,1.545612156e-09,1.168166279e+02,1.048402054e-01
203.322743607,1.034363721e-10,5.315615393e-03,1.785893562e-02,6.241142966e-09,2.642942956e+00,4.629572320e-02
206.655903338,5.194217379e-11,3.030700873e-03,2.147693245e-03,1.811690124e-09,1.093231566e-01,1.927312884e-02
209.989063070,4.097383625e-11,2.026208846e-03,4.382220617e-03,1.256434943e-09,1.675684249e-02,2.926219965e-02
213.322222801,1.355059597e-10,3.052560561e-03,1.059563725e-03,1.869866421e-09,2.075204185e-02,3.689223034e-02
216.655382532,6.085787790e-10,2.485221752e-03,5.717941171e-04,3.211060010e-09,5.295673769e-01,5.419500575e-02
219.988542263,4.696507814e-09,1.013782910e-02,3.122834447e-03,7.474718634e-09,5.641537062e+01,1.321760718e-01
223.321701995,1.351373748e-07,4.036110242e-02,2.710876354e-03,1.022641635e-07,1.263502171e+02,6.669800914e+00
226.654861726,1.001799400e-05,1.229963794e-02,4.629498361e-01,7.571867171e-06,1.818012956e+01,4.683097074e+02
229.988021457,1.657278718e-05,3.333600995e-03,7.853798046e-01,1.235152801e-05,7.158927739e-02,7.731291000e+02
233.321181188,1.466504105e-06,2.645139225e-03,8.539524700e-02,1.228806778e-06,5.462233999e-03,6.782618073e+01
236.654340920,1.304267006e-08,2.468731616e-03,1.685743260e-03,2.117198479e-08,3.222159042e-02,7.420078077e-01
239.987500651,1.210012676e-09,4.904059394e-03,5.497955200e-03,5.024431691e-09,1.138653970e-02,2.206345274e-02
243.320660382,2.304510895e-10,1.191005346e-03,3.088288570e-05,2.457731980e-09,1.103702662e+01,8.065082044e-03
246.653820114,6.356717499e-11,5.253080898e-02,5.081149211e-03,1.771122471e-09,8.231121676e+01,6.421232811e-02
249.986979845,5.787399186e-11,3.730122079e-02,3.029386267e-03,4.953327111e-09,4.163111158e+01,1.859917006e-02
253.320139576,2.286569335e-10,5.888018141e-03,3.356485692e-03,4.597403505e-09,4.647180887e-01,3.773367226e-02
256.653299307,1.106521565e-10,3.283731285e-03,2.839880242e-02,6.032188284e-09,3.319090835e-02,1.394799443e-01
259.986459039,2.499309892e-12,2.463031134e-03,1.706592182e-02,7.186633976e-10,1.328430867e-02,7.405338212e-02
263.319618770,1.517034104e-12,4.632097821e-03,9.928850042e-04,5.215519515e-10,1.373115451e-02,3.285286629e+00
266.652778501,1.305004562e-12,1.189482330e-03,7.870787525e-03,3.879354346e-10,1.091238522e+00,2.010855458e+01
269.985938232,1.429968957e-12,3.704075153e-02,3.569307476e-03,3.070837785e-10,3.495914523e+01,7.454068925e+00
273.319097964,1.999516480e-12,8.025533034e-02,1.038765919e-02,2.723747229e-10,5.048507667e+01,3.705565370e-02
276.652257695,2.021280901e-11,1.680309112e-02,4.337325519e-02,1.051049648e-09,4.514168839e+00,1.389389311e-01
279.985417426,1.239190521e-10,3.819166966e-03,9.925863913e-03,4.111182354e-09,4.131945824e-02,2.730485225e-02
283.318577157,4.779770019e-11,2.916606087e-03,1.416497161e-03,8.618541727e-10,3.048794487e-03,2.162674683e-02
286.651736889,4.616841072e-11,3.317315640e-03,4.612361909e-03,3.602888035e-10,2.043910022e-02,3.242596256e-02
289.984896620,1.551652739e-10,5.428851785e-03,2.343118316e-04,5.530708675e-10,3.387077441e-02,2.626932594e-02
293.318056351,7.247407642e-10,1.118049207e-02,1.387321340e-03,9.654917214e-10,9.282212197e+00,5.264927925e-02
