time_s,raw_acceleration_mps2,highpass_mps2,lowpass_mps2
0.08807812500000001,-122.22069988601915,-119.25181839680798,-2.9688815629136553
0.08809375,-107.04369647764123,-104.30743367731151,-2.7362628816815735
0.088109375,-87.81531079377221,-85.32349898437857,-2.4918118984878976
0.088125,-65.41446472877375,-63.17868133955936,-2.23578348612865
0.088140625,-40.82708453203072,-38.85861338156652,-1.9684712552598131
0.08815625,-14.987823336007873,-13.29761600704255,-1.690207441686663
0.088171875,11.110045577862754,12.511408089235644,-1.401362632046553
0.0881875,36.43527420212808,37.5376194165337,-1.1023453430396704
0.08820312500000001,59.96208786910159,60.75568920315126,-0.7936014706329408
0.08821875,80.87623381890994,81.3518473005118,-0.4756136261032782
0.088234375,98.69417124428001,98.84307146730225,-0.14890037538999473
0.08825,112.64611407592388,112.46012931278014,0.18598460298262123
0.088265625,122.21970159160985,121.69124799563298,0.5284534281173764
0.08828125,127.12411996795758,126.24623480808118,0.8778849844359952
0.088296875,127.30069566320451,126.06706954091908,1.2336259394047004
0.0883125,122.93341268831493,121.33842069065871,1.5949918074994167
0.08832812500000001,114.49481904995842,112.53355079214364,1.9612680605703354
0.08834375,102.68669482999677,100.35498333700622,2.3317112888714697
0.088359375,87.54408683332444,84.83853620144166,2.705550421127126
0.088375,69.73647215399778,66.65448392090086,3.0819880159681285
0.088390625,50.02812446576154,46.5679226017972,3.4602016407515874
0.08840625,-17.080372913326478,-20.91971849936057,3.8393453570525944
0.088421875,-105.96307149150657,-110.18162306074399,4.218551334828615
0.0884375,-175.8911931377146,-180.48812499631424,4.596931619131328
0.08845312500000001,-221.66453632381098,-226.6381166417597,4.973580073815189
0.08846875,-231.62065828043032,-236.96823305424923,5.347574525440987
0.088484375,-228.13815817332542,-233.8561375527038,5.717979127203514
0.0885,-220.23004794593322,-226.3138951588186,6.08384695738731
0.088515625,-208.07676024141756,-214.52098335986395,6.4442228601252545
0.08853125,-191.87668451656083,-198.67483130595082,6.7981465287718805
0.088546875,-171.84905207796416,-178.99370816488243,7.144655824555127
0.0885625,-148.2450682924434,-155.72785887166214,7.482790315687933
